United Arab Emirates,9441138,1060146,11.2290065032415
Paraguay,6780745,735759,10.8507103570478
Cape Verde,593162,63308,10.6729696103257
Belarus,9534956,994037,10.4251870695575
Cuba,11212198,1112990,9.92659958377474
Bolivia,12224114,1196416,9.78734327903028
Antigua and Barbuda,93772,9106,9.71078786844687
Upper middle income,2525921300,243362021,9.63458445835189
World,7975105024,763739376,9.57654317656795
Tunisia,12356116,1152262,9.32543851158406
Bahamas,409989,38003,9.26927307805819
Saint Vincent and the Grenadines,103959,9602,9.2363335545744
Guyana,808727,73121,9.0414936066188
Oman,4576300,399449,8.72864541223259
Iran,88550568,7603697,8.58684158863893
Pitcairn,47,4,8.51063829787234
Azerbaijan,10358078,830856,8.02133368758181
Bhutan,782457,62654,8.00734097848189
Kazakhstan,19397998,1501922,7.74266499047995
Samoa,222390,16737,7.52596789423985
Libya,6812344,507244,7.44595399175379
Fiji,929769,68918,7.41237877365238
Guatemala,17843914,1246730,6.98686398062667
China,1425887360,99240488,6.95991077443873
South Africa,59893884,4072533,6.7995807384941
Namibia,2567024,171222,6.6700584022588
Thailand,71697024,4729402,6.59637141982351
Asia,4721383370,296103038,6.2715313456954
Eswatini,1201680,74586,6.20681046534851
Mexico,127504120,7563576,5.93202478476774
Ecuador,18001002,1059993,5.88852220559722
Dominican Republic,11228821,660961,5.88629028817896
Iraq,44496124,2465545,5.54103319201466
Jamaica,2827382,154687,5.47103292020675
Honduras,10432858,472485,4.52881655247297
Kiribati,131237,5014,3.82056889444288
Vanuatu,326744,12014,3.67688465587738
Philippines,115559008,4085969,3.53582907184527
Morocco,37457976,1272889,3.39817880175907
Solomon Islands,724272,24575,3.39306227494643
Nepal,30547586,1002346,3.28126091534696
Vatican,808,26,3.21782178217822
El Salvador,6336393,201785,3.18454047910223
India,1417173120,44834859,3.16368257111735
Kyrgyzstan,6630621,206866,3.11985860751203
Sri Lanka,21832150,672110,3.0785332640166
Laos,7529477,218048,2.89592490952559
Sao Tome and Principe,227393,6542,2.87695751408355
Lower middle income,3432097300,97192904,2.83188078613039
Indonesia,275501344,6759513,2.45353176934048
Saudi Arabia,36408824,838541,2.30312574775829
Gabon,2388997,48981,2.05027465501212
Venezuela,28301700,552429,1.95192868272931
Timor,1341298,23426,1.74651717962749
Zambia,20017670,343803,1.71749759087846
Zimbabwe,16320539,264613,1.6213496380236
Lesotho,2305826,34490,1.49577635086082
Djibouti,1120851,15690,1.39982923689233
Mauritania,4736146,63609,1.34305403591866
Bangladesh,171186368,2038129,1.19059071339138
Myanmar,54179312,634174,1.17050951108423
Comoros,836783,9105,1.08809571896179
Equatorial Guinea,1674916,17130,1.02273785670446
Rwanda,13776702,133194,0.96680613400798
Africa,1426736614,13076720,0.916547586406863
Cambodia,16767851,138726,0.82733321043943
Uzbekistan,34627648,252514,0.729226541750684
Mozambique,32969520,233334,0.707726409119696
Pakistan,235824864,1580439,0.670174880287432
Kenya,54027484,343005,0.634871318457102
Algeria,44903228,271644,0.604954280792463
Afghanistan,41128772,213191,0.518350025135689
Senegal,17316452,88989,0.513898574604082
Ghana,33475870,171619,0.51266479407406
Gambia,2705995,12626,0.466593618983036
Egypt,110990096,515970,0.464879316799582
Papua New Guinea,10142625,46838,0.46179366781282
Cameroon,27914542,124895,0.447419126561346
Togo,8848700,39471,0.446065523749251
Guinea-Bissau,2105580,9350,0.444058169245529
Malawi,20405318,88625,0.434323052451327
Congo,5970430,25188,0.421879161132448
Burundi,12889583,53726,0.416817208128455
